molecule_id,generation_mode,source,SMILES,isomeric_SMILES,parent_id,TAF_score_2d,predicted_activity,predictive_uncertainty,similarity_to_train_max,similarity_to_active_max,novelty,uncertainty,information_gain_score,applicability_domain,selection_reason,experimental_status,created_at,portfolio_group,hypothesis_linked
MC-24,medchem_baseline,traditional_medicinal_chemistry,C.C.I.I.I.I.O=C(I)C(O)=CI,C.C.I.I.I.I.O=C(I)C(O)=CI,5,0.0,0.2238,0.4157,0.0811,0.0612,0.9189,0.5,0.2238,OUT-OF-DOMAIN,substituent swap to I,untested,2026-09-09T03:57:35Z,D_chemically_novel,
MC-31,medchem_baseline,traditional_medicinal_chemistry,C.C.CC.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,C.C.CC.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,8,0.0,0.2088,0.4054,0.075,0.0667,0.925,0.5,0.2088,OUT-OF-DOMAIN,substituent swap to Cl,untested,2026-09-09T03:57:35Z,D_chemically_novel,
MC-32,medchem_baseline,traditional_medicinal_chemistry,Br.Br.Br.Br.C.C.CC.O=C(Br)C(O)=CBr,Br.Br.Br.Br.C.C.CC.O=C(Br)C(O)=CBr,8,0.25,0.2188,0.4124,0.075,0.0732,0.925,0.5,0.2188,OUT-OF-DOMAIN,substituent swap to Br,untested,2026-09-09T03:57:35Z,D_chemically_novel,
MC-33,medchem_baseline,traditional_medicinal_chemistry,C.C.CC.I.I.I.I.O=C(I)C(O)=CI,C.C.CC.I.I.I.I.O=C(I)C(O)=CI,8,0.0,0.2138,0.4089,0.0769,0.0682,0.9231,0.5,0.2138,OUT-OF-DOMAIN,substituent swap to I,untested,2026-09-09T03:57:35Z,D_chemically_novel,
MC-43,medchem_baseline,traditional_medicinal_chemistry,C.C.C#C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,C.C.C#C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,12,0.25,0.2288,0.419,0.075,0.0577,0.925,0.5,0.2288,OUT-OF-DOMAIN,substituent swap to Cl,untested,2026-09-09T03:57:35Z,D_chemically_novel,
MC-44,medchem_baseline,traditional_medicinal_chemistry,Br.Br.Br.Br.C.C.C#C.O=C(Br)C(O)=CBr,Br.Br.Br.Br.C.C.C#C.O=C(Br)C(O)=CBr,12,0.5,0.2388,0.4253,0.075,0.0732,0.925,0.5,0.2388,OUT-OF-DOMAIN,substituent swap to Br,untested,2026-09-09T03:57:35Z,D_chemically_novel,
MC-45,medchem_baseline,traditional_medicinal_chemistry,C.C.C#C.I.I.I.I.O=C(I)C(O)=CI,C.C.C#C.I.I.I.I.O=C(I)C(O)=CI,12,0.25,0.2338,0.4222,0.0769,0.0588,0.9231,0.5,0.2338,OUT-OF-DOMAIN,substituent swap to I,untested,2026-09-09T03:57:35Z,D_chemically_novel,
MC-46,medchem_baseline,traditional_medicinal_chemistry,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(Cl)=CCl,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(Cl)=CCl,13,0.0,0.2138,0.4089,0.0811,0.0526,0.9189,0.5,0.2138,OUT-OF-DOMAIN,substituent swap to Cl,untested,2026-09-09T03:57:35Z,D_chemically_novel,
MC-55,medchem_baseline,traditional_medicinal_chemistry,C.C.CC.CC.Cl.Cl.Cl.Cl.O=C(Cl)C(Cl)=CCl,C.C.CC.CC.Cl.Cl.Cl.Cl.O=C(Cl)C(Cl)=CCl,16,0.0,0.1788,0.382,0.0769,0.0682,0.9231,0.5,0.1788,OUT-OF-DOMAIN,substituent swap to Cl,untested,2026-09-09T03:57:35Z,D_chemically_novel,
MC-57,medchem_baseline,traditional_medicinal_chemistry,C.C.CC.CC.I.I.I.I.O=C(I)C(I)=CI,C.C.CC.CC.I.I.I.I.O=C(I)C(I)=CI,16,0.0,0.1838,0.3862,0.0789,0.0698,0.9211,0.5,0.1838,OUT-OF-DOMAIN,substituent swap to I,untested,2026-09-09T03:57:35Z,D_chemically_novel,
