id_a,id_b,smiles_a,smiles_b,core,frag_a,frag_b,transformation,transformation_class,is_active_a,is_active_b,activity_a_uM,activity_b_uM,potentiation_a_pct,potentiation_b_pct,activity_change
3,10,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,*C1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*O,*OCC1CC1,*O -> *OCC1CC1,other,1,0,6077.0,0.0,293.0,0.0,lost_activity
3,11,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)O1,*C1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*O,*OCCC1CCCCC1,*O -> *OCCC1CCCCC1,other,1,0,6077.0,0.0,293.0,0.0,lost_activity
5,6,COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,*C1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*OC,*OCc1ccccc1,*OC -> *OCc1ccccc1,aromatic_substitution,0,0,0.0,0.0,0.0,0.0,no_change
5,10,COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,*C1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*OC,*OCC1CC1,*OC -> *OCC1CC1,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
5,11,COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)O1,*C1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*OC,*OCCC1CCCCC1,*OC -> *OCCC1CCCCC1,other,0,0,0.0,0.0,0.0,0.0,no_change
6,10,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,*C1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*OCc1ccccc1,*OCC1CC1,*OCc1ccccc1 -> *OCC1CC1,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
6,11,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)O1,*C1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*OCc1ccccc1,*OCCC1CCCCC1,*OCc1ccccc1 -> *OCCC1CCCCC1,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
10,11,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)O1,*C1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*OCC1CC1,*OCCC1CCCCC1,*OCC1CC1 -> *OCCC1CCCCC1,other,0,0,0.0,0.0,0.0,0.0,no_change
5,6,COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,*OC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*C,*Cc1ccccc1,*C -> *Cc1ccccc1,aromatic_substitution,0,0,0.0,0.0,0.0,0.0,no_change
5,10,COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,*OC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*C,*CC1CC1,*C -> *CC1CC1,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
