Identifier,Smiles,canonical_smiles,Activity (uM),%Potentiation,is_active,potency_rank,MW,LogP,TPSA,HBD,HBA,RotBonds,RingCount,AromaticRings,FractionCSP3,FormalCharge,HeavyAtomCount,NumHeteroatoms,MolFormula,stereo_has_stereo,stereo_n_stereo_centers,stereo_n_specified,stereo_n_unspecified,stereo_n_ez_bonds,stereo_stereo_status,stereo_has_undefined_stereo,connectivity,mol,pActivity,pPotency,potency_category,norm_potentiation,activity_score,morgan_r1,morgan_r2,morgan_r3,maccs,rdkit_fp,pca_1,pca_2,pca_3,tsne_1,tsne_2,cluster
16,CCCOC1[C@H]([C@H]2OC(C)(C)OC2)OC(=O)C=1OCCC,CCCOC1=C(OCCC)[C@H]([C@@H]2COC(C)(C)O2)OC1=O,0.0,0,0,,300.35100000000006,2.1281,63.22,0,6,7,2,0,0.8,0,21,6,C15H24O6,True,2,2,0,0,defined,False,CCCOC1=C(OCCC)C(C2COC(C)(C)O2)OC1=O,<rdkit.Chem.rdchem.Mol object at 0x12df47ed0>,,,inactive,0.0,0.0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0
 0 1 0 1 1 1 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 1 1 0 1 0 0 1 1
 0 1 1 0 1 1 1 1 0 1 0 1 1 0 0 0 1 1 0]",[0 0 1 ... 0 1 0],4.692150473721808,1.8970435967335244,0.49300604706032397,174.7491,248.20943,1
17,CC1(O[C@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)CO1)C,CC1(C)OC[C@@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)O1,0.0,0,0,,294.26300000000003,0.3552599999999999,110.80000000000004,0,8,5,2,0,0.6153846153846154,0,21,8,C13H14N2O6,True,2,2,0,0,defined,False,CC1(C)OCC(C2OC(=O)C(OCC#N)=C2OCC#N)O1,<rdkit.Chem.rdchem.Mol object at 0x12df47f40>,,,inactive,0.0,0.0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0
 1 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0 1 1 0 0 1 0
 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0 0 1 1 0]",[0 0 1 ... 0 1 0],6.407336075342301,4.044533349065391,2.9811656922254195,463.03006,582.6871,1
18,C1C=CC(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)=CC=1,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,1288.0,500,1,4.0,266.24899999999997,0.2513999999999998,96.22,3,6,5,2,1,0.3076923076923077,0,19,6,C13H14O6,True,2,2,0,0,defined,False,O=C1OC(C(O)CO)C(OCc2ccccc2)=C1O,<rdkit.Chem.rdchem.Mol object at 0x12dfec040>,2.8900841369762067,-3.1099158630237933,low_potency,1.0,0.8516553040835533,[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 1 0 0 1 0
 0 0 1 0 1 1 1 1 0 1 0 1 0 0 1 1 1 1 0]",[0 1 1 ... 0 1 0],-2.032911252822752,-3.879094096763458,-2.8730903944956,-100.09432,-143.74127,2
19,C=CCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,0.0,0,0,,216.18899999999996,-0.7628000000000001,96.22,3,6,5,1,0,0.4444444444444444,0,15,6,C9H12O6,True,2,2,0,0,defined,False,C=CCOC1=C(O)C(=O)OC1C(O)CO,<rdkit.Chem.rdchem.Mol object at 0x12dfec0b0>,,,inactive,0.0,0.0,[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 1 0 0 1 0
 0 0 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 1 0]",[0 0 1 ... 0 1 0],-2.462292312724531,-3.840273415010463,-2.150140709378812,-225.42143,33.16238,2
20,CCCCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,0.0,0,0,,232.2319999999999,-0.1487,96.22,3,6,6,1,0,0.7,0,16,6,C10H16O6,True,2,2,0,0,defined,False,CCCCOC1=C(O)C(=O)OC1C(O)CO,<rdkit.Chem.rdchem.Mol object at 0x12dfec120>,,,inactive,0.0,0.0,[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0
 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 1 0 0 1 1
 0 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 1 1 0]",[0 0 1 ... 0 1 0],-2.39806270969551,-4.098708944567752,-3.8256562611793763,-35.445187,-6.112158,2
21,C1C(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)C1,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,0.0,0,0,,230.21599999999995,-0.5388000000000004,96.22,3,6,5,2,0,0.7,0,16,6,C10H14O6,True,2,2,0,0,defined,False,O=C1OC(C(O)CO)C(OCC2CC2)=C1O,<rdkit.Chem.rdchem.Mol object at 0x12dfec190>,,,inactive,0.0,0.0,[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 1 1 0 0 0 0 1 1 1 1 0 0 1 0 0 1 1
 0 0 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 1 0]",[0 0 1 ... 0 1 0],-2.4315960689563334,-4.076464531390251,-3.3347255993629537,-435.96262,-77.6758,2
22,COC1[C@@H]([C@H](O)CO)OC(=O)C=1OC,COC1=C(OC)[C@@H]([C@H](O)CO)OC1=O,0.0,0,0,,204.17799999999997,-1.2306,85.22000000000001,2,6,4,1,0,0.625,0,14,6,C8H12O6,True,2,2,0,0,defined,False,COC1=C(OC)C(C(O)CO)OC1=O,<rdkit.Chem.rdchem.Mol object at 0x12dfec200>,,,inactive,0.0,0.0,[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],[0 1 1 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0
 0 1 1 0 1 1 1 1 0 1 0 1 1 0 0 0 1 1 0]",[0 0 1 ... 0 1 0],-3.0947257556673997,-3.1849401812330975,-1.0515806727328247,78.81757,-215.08942,2
23,C(O)[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.0,0,0,,178.14,-3.0132000000000008,107.22,4,6,1,1,0,0.8333333333333334,0,12,6,C6H10O6,True,4,4,0,0,defined,False,O=C1OC(CO)C(O)C(O)C1O,<rdkit.Chem.rdchem.Mol object at 0x12dfec270>,,,inactive,0.0,0.0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0
 0 0 1 0 1 1 1 1 0 1 0 1 0 0 0 1 1 1 0]",[1 0 1 ... 0 0 0],-5.788095032922701,-2.030264687304418,8.130698564262284,3.2243872,-923.0185,3
24,CCCOC1C(=O)O[C@H]([C@H](O)CO)C=1O,CCCOC1=C(O)[C@@H]([C@H](O)CO)OC1=O,1202.0,190,1,3.0,218.205,-0.5388,96.22,3,6,5,1,0,0.6666666666666666,0,15,6,C9H14O6,True,2,2,0,0,defined,False,CCCOC1=C(O)C(C(O)CO)OC1=O,<rdkit.Chem.rdchem.Mol object at 0x12dfec2e0>,2.920095532333279,-3.079904467666721,low_potency,0.38,0.6755618307386347,[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0
 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 1 0 0 1 1
 0 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 1 1 0]",[0 0 1 ... 0 1 0],-3.303683217592342,-3.9450832985955477,-2.4841989817612355,126.706024,-394.34735,2
25,C(Br)[C@H]([C@H]1OC(=O)C(O)=C1O)O,O=C1O[C@H]([C@H](O)CBr)C(O)=C1O,2.63,180,1,2.0,239.021,-0.0048,86.99000000000001,3,5,2,1,0,0.5,0,12,6,C6H7BrO5,True,2,2,0,0,defined,False,O=C1OC(C(O)CBr)C(O)=C1O,<rdkit.Chem.rdchem.Mol object at 0x12dfec350>,5.580044251510242,-0.41995574848975786,high_potency,0.36,0.8077198641607849,[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0
 0 0 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 1 0]",[0 0 1 ... 0 1 0],-4.545151694629362,-4.022145993929521,-2.411672889024584,-251.58557,-354.5954,2
26,C(O)[C@H]([C@H]1OC(=O)[C@@H](O)[C@H]1O)O,O=C1O[C@H]([C@H](O)CO)[C@H](O)[C@@H]1O,0.0,0,0,,178.14,-3.013199999999999,107.22,4,6,2,1,0,0.8333333333333334,0,12,6,C6H10O6,True,4,4,0,0,defined,False,O=C1OC(C(O)CO)C(O)C1O,<rdkit.Chem.rdchem.Mol object at 0x12dfec3c0>,,,inactive,0.0,0.0,[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0
 0 0 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 1 0]",[1 0 1 ... 0 0 0],-7.123471327652899,-1.3809073113961405,5.055155197045874,-8.274398,-615.05084,3
27,CC1(O[C@H]([C@@H]2OC(=O)[C@@H]3OC(O[C@H]23)(C)C)CO1)C,CC1(C)OC[C@@H]([C@@H]2OC(=O)[C@@H]3OC(C)(C)O[C@H]23)O1,0.0,0,0,,258.2699999999999,0.5833999999999993,63.22000000000001,0,6,1,3,0,0.9166666666666666,0,18,6,C12H18O6,True,4,4,0,0,defined,False,CC1(C)OCC(C2OC(=O)C3OC(C)(C)OC32)O1,<rdkit.Chem.rdchem.Mol object at 0x12dfec430>,,,inactive,0.0,0.0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1 0
 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0
 0 1 0 0 1 1 1 0 0 1 0 1 1 0 0 0 1 1 0]",[1 0 1 ... 0 0 0],2.1678551321170287,3.2335924114241408,5.068146205247388,487.61728,284.57318,1
28,C(O)[C@H]1OC(=O)[C@H](O)[C@@H]1O,O=C1O[C@H](CO)[C@@H](O)[C@H]1O,0.0,0,0,,148.114,-2.3741000000000008,86.99000000000001,3,5,1,1,0,0.8,0,10,5,C5H8O5,True,3,3,0,0,defined,False,O=C1OC(CO)C(O)C1O,<rdkit.Chem.rdchem.Mol object at 0x12dfec4a0>,,,inactive,0.0,0.0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0
 0 0 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 1 0]",[0 0 1 ... 0 0 0],-5.578198418090865,-1.9128687785402738,7.565079136366171,-47.93239,-839.5808,3
29,C([C@@H](O)C1OC(=O)[C@@H](O)[C@H]1O)=O,O=C[C@@H](O)C1OC(=O)[C@@H](O)[C@H]1O,0.0,0,0,,176.124,-2.8066,104.06,3,6,2,1,0,0.6666666666666666,0,12,6,C6H8O6,True,4,3,1,0,undefined/mixed,True,O=CC(O)C1OC(=O)C(O)C1O,<rdkit.Chem.rdchem.Mol object at 0x12dfec510>,,,inactive,0.0,0.0,[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 1 0 0 1 0 0 1 0
 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 0 1 1 0]",[1 0 1 ... 0 0 0],-6.929996036491236,-1.9429017659510481,9.527431632257732,131.6472,-663.4313,3
30,C(O)[C@@H](O)[C@H]1OC2O[C@@H](O[C@@H]2[C@H]1O)C(Cl)(Cl)Cl,OC[C@@H](O)[C@H]1OC2O[C@H](C(Cl)(Cl)Cl)O[C@@H]2[C@H]1O,0.0,0,0,,309.529,-0.4628999999999993,88.38000000000001,3,6,2,2,0,1.0,0,17,9,C8H11Cl3O6,True,6,5,1,0,undefined/mixed,True,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,<rdkit.Chem.rdchem.Mol object at 0x12dfec580>,,,inactive,0.0,0.0,[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 0 1 0
 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0
 0 0 1 0 1 1 0 1 0 1 0 1 0 0 0 0 1 1 0]",[1 0 0 ... 0 1 0],-16.196672884600805,18.45281352447402,-5.215848087160166,-196.4066,-588.1237,4
