Feature,SMARTS,Active,Active_%,Inactive,Inactive_%
Nitrogen,[#7],0,0/7 (0%),1,1/23 (4%)
Bromine,[#35],1,1/7 (14%),0,0/23 (0%)
Alkyne,C#C,1,1/7 (14%),0,0/23 (0%)
Benzyl,c1ccccc1C,1,1/7 (14%),2,2/23 (9%)
Acetal,[OR0][CR0][OR0],0,0/7 (0%),0,0/23 (0%)
Lactone,"C(=O)O[C,C]",7,7/7 (100%),22,22/23 (96%)
Phenol,c1ccc(O)cc1,0,0/7 (0%),0,0/23 (0%)
Ether,[C!H0]O[C!H0],0,0/7 (0%),2,2/23 (9%)
Alcohol,[CX4][OH],5,5/7 (71%),9,9/23 (39%)
Chlorine,[#17],0,0/7 (0%),1,1/23 (4%)
