Asphericity,Eccentricity,NPR1,NPR2,SpherocityIndex,Identifier,is_active
0.36719635766017084,0.9560227015062985,0.29329267669786546,0.7627028323916489,0.2195188593039683,1,1
0.2837385922251184,0.9291437349822493,0.3697187035345056,0.6798119090702288,0.17807157472672683,2,1
0.4345946338083686,0.9689915653701698,0.24709380049177287,0.8909915751087151,0.36051129327536807,3,1
0.7312171298215464,0.9949364061869064,0.10050645573237199,0.9776356673909486,0.132873156798779,4,0
0.25242775603865625,0.9246664967171667,0.38077797973202426,0.8681305760248478,0.44858714091865376,5,0
0.37529927383556466,0.9577449253625134,0.2876189457291601,0.9226095593853207,0.3674250347572577,6,0
0.26974502643388676,0.9254770822811222,0.37880360369513516,0.6928725645301526,0.2076851192706718,7,0
0.17604970345514726,0.8718040551881315,0.4898547635345901,0.6571774769060269,0.276177802351233,8,0
0.38401009948273385,0.9600698535041807,0.2797603910357237,0.7934975983483032,0.12761511951555768,9,0
0.2592971939105754,0.9194905338392728,0.39311214453380733,0.6732106775291694,0.18955765488475299,10,0
0.30002084575216637,0.9400793340169264,0.3409557826966596,0.7835703006109013,0.19164389183216396,11,0
0.28591758310759235,0.933581039064601,0.3583663537485906,0.7280447016128426,0.15625995409883214,12,1
0.25873125375601413,0.9264174769419949,0.3764978863372651,0.8900614289640909,0.4407705542785831,13,0
0.2697550238192591,0.9295314495055881,0.368742843157722,0.752857643194608,0.2529616380525301,14,0
0.3318528051295204,0.9484849776620992,0.31682210647195586,0.7806883617373287,0.13634867471771628,15,0
0.30705271627842384,0.940879111610625,0.3387425236589012,0.7471685123100222,0.14500406559881315,16,0
0.2933343303825053,0.9375697063014222,0.34779742067166763,0.764772219881992,0.20439968248301515,17,0
0.37295646614204037,0.9577617704377605,0.287562847196794,0.7860428338045923,0.1829785654379544,18,1
0.17472808325535888,0.8635197677306345,0.5043149915860434,0.6305006847506525,0.3180025031906786,19,0
0.21699623932531592,0.9043732920186207,0.4267422508768057,0.7050526279429694,0.2405088874438304,20,0
0.22652342232734604,0.9111677472001242,0.41203560096458974,0.7300588765285376,0.2460666893938759,21,0
0.329720827188456,0.9467053224715086,0.3221009661645196,0.7421020680043732,0.1514131171123581,22,0
0.25047119585405947,0.9094156220015498,0.41588847839238635,0.629680439213125,0.2657813814637637,23,0
0.5513924983664149,0.9833634098679792,0.18164912367754651,0.8672433581166565,0.12986964831533648,24,1
0.5990699871218325,0.9873737166487018,0.15840815531824476,0.9126758305946889,0.3133522711054257,25,1
0.3205970486600219,0.9446255530460625,0.32815021641379494,0.7486365511473758,0.24535649269498183,26,0
0.40704379668873697,0.9642415603241699,0.2650249296643814,0.9030549516125684,0.3470520299397216,27,0
0.23295344195836531,0.9104484865764765,0.41362247677151603,0.6916005434068058,0.31205738662531585,28,0
0.29383395951693303,0.9387921876629682,0.3444840030871943,0.8460872445301811,0.38141942180430793,29,0
0.5720305640619834,0.984660848911694,0.17447926129056754,0.9702849383149714,0.24790582551558163,30,0
