TAF,SMARTS,Active,Inactive,Enrichment,P_value,Evidence
TAF-2: Hydroxyl group,[CX4][OH],5/7,9/23,1.83,0.204,Moderate
TAF-3: Terminal alkyne,C#C,1/7,0/23,1428571428.57,0.2333,Moderate
TAF-4: Bromine substituent,[Br],1/7,0/23,1428571428.57,0.2333,Moderate
TAF-5: Benzyl/aromatic side chain,c1ccccc1C,1/7,2/23,1.64,1.0,Moderate
"TAF-6: 1,3-dioxolane ring",C1OCCO1,2/7,15/23,0.44,0.1897,Weak
TAF-7: Enol/enolate,C=C(O),7/7,17/23,1.35,0.2901,Moderate
TAF-8: Defined stereocenter,[C@H],7/7,23/23,1.0,1.0,Weak
TAF-9: Small alkyl chain,CCC,7/7,23/23,1.0,1.0,Weak
TAF-10: Carboxylic acid/ester,C(=O)O,7/7,22/23,1.05,1.0,Moderate
