feature,rf_gini_importance,rank
MW,0.03269634915453509,9
LogP,0.04851488737739187,2
TPSA,0.023819630710607297,1
HBD,0.014647688817969805,6
HBA,0.0007459759214874281,10
RotBonds,0.02825010967940203,3
RingCount,0.007734165197446447,4
AromaticRings,0.005297648441216748,7
FractionCSP3,0.05912129269412153,8
HeavyAtomCount,0.02677139631346373,5
