Identifier,Smiles,Activity (uM),%Potentiation,canonical_smiles,connectivity,MW,LogP,TPSA,HBD,HBA,RotBonds,RingCount,AromaticRings,FractionCSP3,FormalCharge,HeavyAtomCount,NumHeteroatoms,NumValenceElectrons,NumAmideBonds,MolFormula,NumStereocenters,NumUnspecifiedStereocenters,NumBonds,NumAliphaticRings,NumSaturatedRings,LabuteASA,BertzCT,stereo_has_stereo,stereo_n_stereo_centers,stereo_n_unspecified,stereo_n_specified,stereo_n_ez_bonds,stereo_has_undefined_stereo,stereo_stereo_status,is_active,potency_rank
14,CC1(O[C@H]([C@H]2OC(=O)C(OCC3C=CC=CC=3)=C2OCC2C=CC=CC=2)CO1)C,0.0,0,CC1(C)OC[C@@H]([C@H]2OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)O1,CC1(C)OCC(C2OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)O1,396.4390000000002,3.7085000000000026,63.22000000000001,0,6,7,4,2,0.34782608695652173,0,29,6,152,0,C23H24O6,2,0,32,2,1,169.53084349225915,874.7557771174086,True,2,0,2,0,False,defined,0,
15,C=CCOC1C(C2OC(C)(C)OC2)OC(=O)C=1OCC=C,0.0,0,C=CCOC1=C(OCC=C)C(C2COC(C)(C)O2)OC1=O,C=CCOC1=C(OCC=C)C(C2COC(C)(C)O2)OC1=O,296.319,1.6801,63.22,0,6,7,2,0,0.5333333333333333,0,21,6,116,0,C15H20O6,2,2,22,2,1,123.49721747334904,464.78430084427976,True,2,2,0,0,True,undefined/mixed,0,
16,CCCOC1[C@H]([C@H]2OC(C)(C)OC2)OC(=O)C=1OCCC,0.0,0,CCCOC1=C(OCCC)[C@H]([C@@H]2COC(C)(C)O2)OC1=O,CCCOC1=C(OCCC)C(C2COC(C)(C)O2)OC1=O,300.35100000000006,2.1281,63.22,0,6,7,2,0,0.8,0,21,6,120,0,C15H24O6,2,0,22,2,1,124.87642353771753,414.38690501115457,True,2,0,2,0,False,defined,0,
17,CC1(O[C@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)CO1)C,0.0,0,CC1(C)OC[C@@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)O1,CC1(C)OCC(C2OC(=O)C(OCC#N)=C2OCC#N)O1,294.26300000000003,0.3552599999999999,110.80000000000003,0,8,5,2,0,0.6153846153846154,0,21,8,112,0,C13H14N2O6,2,0,22,2,1,120.93169867186171,541.8451892528295,True,2,0,2,0,False,defined,0,
18,C1C=CC(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)=CC=1,1288.0,500,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,O=C1OC(C(O)CO)C(OCc2ccccc2)=C1O,266.24899999999997,0.2513999999999998,96.22000000000001,3,6,5,2,1,0.3076923076923077,0,19,6,102,0,C13H14O6,2,0,20,1,0,109.06187755020534,481.1666259699997,True,2,0,2,0,False,defined,1,4.0
19,C=CCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,0.0,0,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,C=CCOC1=C(O)C(=O)OC1C(O)CO,216.18899999999996,-0.7628000000000001,96.22000000000001,3,6,5,1,0,0.4444444444444444,0,15,6,84,0,C9H12O6,2,0,15,1,0,86.04506454075023,294.9776946533312,True,2,0,2,0,False,defined,0,
20,CCCCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,0.0,0,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,CCCCOC1=C(O)C(=O)OC1C(O)CO,232.23199999999994,-0.1487,96.22000000000001,3,6,6,1,0,0.7,0,16,6,92,0,C10H16O6,2,0,16,1,0,93.0996096873311,285.0338417641986,True,2,0,2,0,False,defined,0,
21,C1C(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)C1,0.0,0,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,O=C1OC(C(O)CO)C(OCC2CC2)=C1O,230.21599999999995,-0.5388000000000004,96.22000000000001,3,6,5,2,0,0.7,0,16,6,90,0,C10H14O6,2,0,17,2,1,92.09377853380187,319.27094404679946,True,2,0,2,0,False,defined,0,
22,COC1[C@@H]([C@H](O)CO)OC(=O)C=1OC,0.0,0,COC1=C(OC)[C@@H]([C@H](O)CO)OC1=O,COC1=C(OC)C(C(O)CO)OC1=O,204.17799999999997,-1.2306000000000001,85.22000000000001,2,6,4,1,0,0.625,0,14,6,80,0,C8H12O6,2,0,14,1,0,80.68903693584873,258.55711902130685,True,2,0,2,0,False,defined,0,
23,C(O)[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,0.0,0,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,O=C1OC(CO)C(O)C(O)C1O,178.14000000000001,-3.0132000000000008,107.22000000000001,4,6,1,1,0,0.8333333333333334,0,12,6,70,0,C6H10O6,4,0,12,1,1,68.01013278461804,178.8771237954945,True,4,0,4,0,False,defined,0,
24,CCCOC1C(=O)O[C@H]([C@H](O)CO)C=1O,1202.0,190,CCCOC1=C(O)[C@@H]([C@H](O)CO)OC1=O,CCCOC1=C(O)C(C(O)CO)OC1=O,218.20499999999998,-0.5388,96.22000000000001,3,6,5,1,0,0.6666666666666666,0,15,6,86,0,C9H14O6,2,0,15,1,0,86.7346675729345,271.77613455204585,True,2,0,2,0,False,defined,1,3.0
25,C(Br)[C@H]([C@H]1OC(=O)C(O)=C1O)O,2.63,180,O=C1O[C@H]([C@H](O)CBr)C(O)=C1O,O=C1OC(C(O)CBr)C(O)=C1O,239.021,-0.004800000000000082,86.99000000000001,3,5,2,1,0,0.5,0,12,6,68,0,C6H7BrO5,2,0,12,1,0,76.39384360587916,236.09294401862638,True,2,0,2,0,False,defined,1,2.0
26,C(O)[C@H]([C@H]1OC(=O)[C@@H](O)[C@H]1O)O,0.0,0,O=C1O[C@H]([C@H](O)CO)[C@H](O)[C@@H]1O,O=C1OC(C(O)CO)C(O)C1O,178.14000000000001,-3.0131999999999994,107.22000000000001,4,6,2,1,0,0.8333333333333334,0,12,6,70,0,C6H10O6,4,0,12,1,1,68.01013278461804,180.87712379549447,True,4,0,4,0,False,defined,0,
27,CC1(O[C@H]([C@@H]2OC(=O)[C@@H]3OC(O[C@H]23)(C)C)CO1)C,0.0,0,CC1(C)OC[C@@H]([C@@H]2OC(=O)[C@@H]3OC(C)(C)O[C@H]23)O1,CC1(C)OCC(C2OC(=O)C3OC(C)(C)OC32)O1,258.2699999999999,0.5833999999999993,63.22000000000001,0,6,1,3,0,0.9166666666666666,0,18,6,102,0,C12H18O6,4,0,20,3,3,105.46536907318269,376.7639251168273,True,4,0,4,0,False,defined,0,
28,C(O)[C@H]1OC(=O)[C@H](O)[C@@H]1O,0.0,0,O=C1O[C@H](CO)[C@@H](O)[C@H]1O,O=C1OC(CO)C(O)C1O,148.114,-2.3741000000000008,86.99000000000001,3,5,1,1,0,0.8,0,10,5,58,0,C5H8O5,3,0,10,1,1,56.85095691802542,144.97373660251154,True,3,0,3,0,False,defined,0,
29,C([C@@H](O)C1OC(=O)[C@@H](O)[C@H]1O)=O,0.0,0,O=C[C@@H](O)C1OC(=O)[C@@H](O)[C@H]1O,O=CC(O)C1OC(=O)C(O)C1O,176.124,-2.8066,104.06,3,6,2,1,0,0.6666666666666666,0,12,6,68,0,C6H8O6,4,1,12,1,1,67.37742113246578,202.21499122004104,True,4,1,3,0,True,undefined/mixed,0,
30,C(O)[C@@H](O)[C@H]1OC2O[C@@H](O[C@@H]2[C@H]1O)C(Cl)(Cl)Cl,0.0,0,OC[C@@H](O)[C@H]1OC2O[C@H](C(Cl)(Cl)Cl)O[C@@H]2[C@H]1O,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,309.529,-0.46289999999999937,88.38000000000001,3,6,2,2,0,1.0,0,17,9,100,0,C8H11Cl3O6,6,1,18,2,2,111.91531914730102,284.92430642566427,True,6,1,5,0,True,undefined/mixed,0,
