MW,LogP,TPSA,HBD,HBA,RotBonds,RingCount,AromaticRings,FractionCSP3,HeavyAtomCount
0.041082272642934396,0.05138792328278591,0.02026807489791874,0.028036883854751907,0.0005594405594405593,0.008619609183386273,0.00970363623855527,0.0044607397614916415,0.08317291070708553,0.03740476147683708
0.03453255726526242,0.030963560911267958,0.019873286469055593,0.02957185482524849,0.0015613939676641692,0.037854513796288694,0.006359023329611565,0.0,0.030292722496326252,0.0567336294651174
0.05725719049732111,0.037713006523560556,0.016526590769474415,0.01366195262367335,0.00221251233286837,0.01993436817351043,0.006022280070356994,0.0,0.06115572888974238,0.04394868501550441
0.04585074694514604,0.0327845269161176,0.020732038295167166,0.02357718637176236,0.010032336672042556,0.042409765515392786,0.013986163745444093,0.0,0.03459066561212306,0.04597232877982305
0.018885982956820504,0.03286301397533759,0.038421813254618686,0.05250943139623964,3.0080213903743435e-05,0.010294355719171895,0.007670373752903608,0.007161429086264611,0.03196954107983519,0.06452155850195475
0.046823048972039094,0.01965517378586817,0.01662457897494662,0.051935234006496724,0.0011904761904761906,0.02227865520190819,0.007213711288711289,0.008989029387978967,0.05272560817020563,0.04974640224176128
0.028589075134409055,0.016130010509908786,0.0024381910106700032,0.01638399787347156,0.0,0.014721744921744922,0.0278066424950547,0.0,0.07961502845759066,0.04668129191070367
0.033251417622215944,0.042402483032300875,0.019908257698637598,0.018116039408310892,0.000871256948180025,0.03941197646206378,0.008196723469169291,0.0001185185185185184,0.06734792752013519,0.023566492190225462
0.05228471771487199,0.03985672350811671,0.02270319537967788,0.02326163515134104,0.0,0.014773525744864699,0.009391142284419595,0.0,0.015442829945318636,0.0508824745807414
0.031807811056819235,0.055596055774626105,0.023362237545188416,0.0333489934294727,0.0025415301073195814,0.029642324527533803,0.012359665493605123,0.005866075445022814,0.04614445261929314,0.016802718648872495
0.040214061062861024,0.05698906644660422,0.03664539097972552,0.030169265785969984,0.0,0.028974373607039344,0.007090439054409643,0.00865908358389976,0.09469125015972828,0.0470908977072275
0.03169974092346729,0.04179707972849367,0.036573951717842265,0.03854592796166995,0.0,0.008366128426695924,0.0012201729982979984,0.0040097017180350525,0.03807383321809546,0.018043277377098137
0.011839576078442477,0.02857484924039546,0.001428571428571429,0.018930000354945072,0.00022131714439406743,0.0015576776165011463,0.03221378621378622,0.0,0.03467320261437909,0.05597144707685447
0.03568372364377434,0.03138461060133577,0.014591374905958236,0.023225009592267663,0.009126964856869165,0.037592663317809874,0.009823266203501012,0.0,0.0657935465252426,0.01955713750146523
0.04180281145214803,0.025463837202727414,0.01852000098057962,0.03703624739338749,0.0,0.030360816879199237,0.004688879747703277,0.0005213903743315505,0.05779075564957917,0.06034808080099294
0.05216032502744686,0.06055009493502141,0.010331494586184445,0.00739974715719333,0.0,0.013735418807667609,0.008077944542230257,0.0,0.08963527464866292,0.03264383625022034
0.060312606244007146,0.05487310222076781,0.0391417428198737,0.031233053637389468,0.0004976851851851852,0.026689024336766787,0.007352386397449424,0.0002777777777777778,0.05827403174718608,0.040874933848939386
0.021281015296595842,0.03838836956422837,0.022420718954696533,0.020283693969142886,0.0,0.04133250786812298,0.00776634838084418,0.004622671737094814,0.06685345124728131,0.026392249976955984
0.02648782638546021,0.02753706058434318,0.011093240799947087,0.011933678484070225,3.546545773108133e-18,0.012373681573886639,0.0027173250599974823,0.001143098129940247,0.026780384559503538,0.009951660073642838
0.008116739598254496,0.0024750041625041757,0.016268930007900643,0.020564154746219955,0.0015536914066326072,0.009032742584213178,0.002055555555555567,0.0,0.012056093609692675,0.01031310984598775
0.02354371157447423,0.011258055827745386,0.0030804011766181693,0.0050855879654337875,0.00041666666666666686,0.01147094924648753,0.01567084470984412,0.00128952121478469,0.015424307034848879,0.016409631149659622
0.017318563454089768,0.010065800371354437,0.003982290329570136,0.011333826078424942,0.01095898222861757,0.011939776047849675,0.0049016695143355524,0.0001153846153846154,0.015912625532471844,0.012748908534705753
0.004014762881896962,0.008567327691814711,0.004138589530185104,0.00832809905495334,1.0964912280718504e-05,0.0037084347863662413,0.004362414791680329,0.007167315475513247,0.008897711898008205,0.012613705652690932
0.014168876777687339,0.010117439656082337,0.008209467966272086,0.012857198714889025,0.0005882352941176456,0.010898405305743299,0.004879742243554032,0.0055560424379828225,0.011192786280167762,0.006675481177854007
0.008670720224159925,0.0031300721322151115,0.0007862866389998167,0.008193123279332148,0.0005819118692253036,0.007193674002303276,0.01189620910130191,0.0,0.019150708920492678,0.0055394225492012466
