dimension,spearman_rank_corr_mean,topk_overlap_mean,jaccard_topk_similarity,sign_consistency,classification
across_models_seeds_splits,0.5673332859939726,1.5045422781271838,0.37631027253668764,0.5773148148148148,MARGINAL
across_seeds_fixed_model,0.8989898989898988,1.6666666666666667,0.39999999999999997,1.0,STABLE
across_models_fixed_seed,0.8927048301920304,1.6666666666666667,0.39999999999999997,0.8666666666666667,STABLE
method_gini_vs_permutation,0.16213872157466688,1.0,0.4074074074074074,0.1832304526748971,UNSTABLE
method_gini_vs_ablation,0.24938999553338798,1.0,0.40185185185185185,0.179320987654321,UNSTABLE
