metric,value,note
fingerprint_space_mean_nn_distance,0.8593,mean min-Tanimoto-distance from any training compound (higher = more expansion)
fingerprint_space_frac_beyond_0.4,1.0,fraction of generated molecules with NN distance > 0.4 (chemically distinct)
novel_scaffold_count,22506.0,Bemis-Murcko scaffolds not present in the training set
generated_count,31397.0,count alone is NOT meaningful expansion (section 23)
new_sar_relationships,31397.0,"SAR-space expansion = number of NEW experimentally testable hypotheses, not molecules; filled after experimental rounds"
descriptor_space_coverage_fraction_in_train_range,0.7116,fraction of generated descriptor values within experimental range
