descriptor,active_mean,active_std,inactive_mean,inactive_std,delta
MW,220.879,35.439,255.788,58.006,-34.909
LogP,-0.319,0.815,0.346,1.91,-0.665
TPSA,93.33,12.067,82.583,15.754,10.747
HBD,2.857,1.069,1.609,1.373,1.248
HBA,5.857,0.378,6.043,0.475,-0.186
RotBonds,2.857,1.574,4.087,2.087,-1.23
RingCount,1.429,0.535,1.957,0.825,-0.528
AromaticRings,0.143,0.378,0.13,0.458,0.012
FractionCSP3,0.532,0.124,0.703,0.157,-0.171
HeavyAtomCount,14.714,2.928,17.696,4.311,-2.981
