feature,shap_mean_abs
MW,0.010363566080952421
LogP,0.022304625161660756
TPSA,0.013196900085393202
HBD,0.011112324257245587
HBA,0.00030237232596963835
RotBonds,0.012005754359978667
RingCount,0.002865544973102481
AromaticRings,0.0026337884735451655
FractionCSP3,0.03918721591796811
HeavyAtomCount,0.017399256783965308
