molecule_id,generation_mode,source,SMILES,isomeric_SMILES,parent_id,TAF_score_2d,predicted_activity,predictive_uncertainty,similarity_to_train_max,similarity_to_active_max,novelty,uncertainty,information_gain_score,applicability_domain,selection_reason,experimental_status,created_at,portfolio_group,hypothesis_linked,mol,chemotype_scaffold,novel_scaffold,lipinski_violations,pains_flag,brenk_flag,druglike_lipinski,pains_clean,brenk_clean,druglike,molecule_tier,family_id
MC-10,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,25,0.5,0.375,0.4841,0.225,0.225,0.775,0.5,0.375,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,D_chemically_novel,,<rdkit.Chem.rdchem.Mol object at 0x1531afb56960>,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,1,0,0,1,1,1,0,0,3,CHT-003
MC-0,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)C[C@H](O)CO,O=P(O)(O)C(O)=C(O)C[C@H](O)CO,1,0.25,0.34,0.4737,0.2051,0.2051,0.7949,0.5,0.34,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).,<rdkit.Chem.rdchem.Mol object at 0x1531afb56030>,O=P(O)(O)C(O)=C(O)C[C@H](O)CO,1,1,0,1,1,1,0,0,2,CHT-005
MC-1,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)CC(O)CO,O=P(O)(O)C(O)=C(O)CC(O)CO,2,0.25,0.34,0.4737,0.2051,0.2051,0.7949,0.5,0.34,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).,<rdkit.Chem.rdchem.Mol object at 0x1531afb54120>,O=P(O)(O)C(O)=C(O)CC(O)CO,1,1,0,1,1,1,0,0,2,CHT-004
MC-3,medchem_baseline,traditional_medicinal_chemistry,C#CCOC(C[C@H]1COC(C)(C)O1)=C(O)P(=O)(O)O,C#CCOC(C[C@H]1COC(C)(C)O1)=C(O)P(=O)(O)O,12,0.25,0.31,0.4625,0.3729,0.3729,0.6271,0.5,0.31,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).,<rdkit.Chem.rdchem.Mol object at 0x1531afb55460>,C1COCO1,1,0,0,1,1,1,0,0,2,CHT-002
MC-4,medchem_baseline,traditional_medicinal_chemistry,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,18,0.75,0.45,0.4975,0.6279,0.6,0.3721,0.5,0.45,NEAR-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).,<rdkit.Chem.rdchem.Mol object at 0x1531afb54430>,O=C1C=CCO1,0,0,0,1,1,1,0,0,2,CHT-001
MC-5,medchem_baseline,traditional_medicinal_chemistry,N#CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,N#CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,18,0.5,0.39,0.4877,0.6279,0.6,0.3721,0.5,0.39,NEAR-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).,<rdkit.Chem.rdchem.Mol object at 0x1531afb55a80>,O=C1C=CCO1,0,0,0,0,1,1,1,1,2,CHT-001
MC-6,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(C[C@H](O)CO)OCc1ccccc1,O=P(O)(O)C(O)=C(C[C@H](O)CO)OCc1ccccc1,18,0.25,0.445,0.497,0.3585,0.3585,0.6415,0.5,0.445,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).,<rdkit.Chem.rdchem.Mol object at 0x1531afb55d20>,c1ccccc1,1,0,0,1,1,1,0,0,2,CHT-007
MC-10,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,25,0.5,0.375,0.4841,0.225,0.225,0.775,0.5,0.375,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).,<rdkit.Chem.rdchem.Mol object at 0x1531afb546d0>,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,1,0,0,1,1,1,0,0,2,CHT-003
NEG-1-no_OH,negative_control,control_design,CC[C@@H]1OC(=O)C(O)=C1O,CC[C@@H]1OC(=O)C(O)=C1O,1,0.25,0.52,0.4996,0.4242,0.4242,0.5758,0.6,0.48,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-15T01:45:37Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).,<rdkit.Chem.rdchem.Mol object at 0x1531afb552a0>,O=C1C=CCO1,0,0,0,0,1,1,1,1,2,CHT-001
NEG-2-no_OH,negative_control,control_design,CCC1OC(=O)C(O)=C1O,CCC1OC(=O)C(O)=C1O,2,0.25,0.52,0.4996,0.4242,0.4242,0.5758,0.6,0.48,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-15T01:45:37Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).,<rdkit.Chem.rdchem.Mol object at 0x1531afb57220>,O=C1C=CCO1,0,0,0,0,1,1,1,1,2,CHT-001
