mode,generator,prior,prior_sha256,prior_verified,stereochemistry_supported,run_type,config_file,config_sha256,objectives,diversity_filter,seed_file,n_target,device,experimental_status,status,generation_rule,toml_syntax
de_novo,Reinvent,reinvent,fe8cd1678452ad292a8f93e97cb19a85959b729e17113e157180d5e69ae89ef3,True,True,staged_learning,/cluster/home/nbhatt04/Low-data-alpah9alpah10-r01-ligand-based/project/reinvent/configs/de_novo_staged_learning.toml,986da913c4ccce639dd44e76af1b9237af73a7320339ab80ae1a6baee90b9bdd,predicted_activity:1+training_similarity:1+taf_consistency:0.8+novelty:0.5+stereo_validity:0.4,IdenticalMurckoScaffold,,10000,cuda,untested,READY_RUNNABLE,novel molecules satisfying the TAF/AD constraints (no seed),valid
local_analog,Reinvent,reinvent,fe8cd1678452ad292a8f93e97cb19a85959b729e17113e157180d5e69ae89ef3,True,True,staged_learning,/cluster/home/nbhatt04/Low-data-alpah9alpah10-r01-ligand-based/project/reinvent/configs/local_analog_staged_learning.toml,d4c3f15681a58b6527e080f6128df93de19fae032a4dc83767b366005f8f7ab0,predicted_activity:1+training_similarity:1+taf_consistency:0.8+novelty:0.2+stereo_validity:0.5,IdenticalMurckoScaffold,/cluster/home/nbhatt04/Low-data-alpah9alpah10-r01-ligand-based/project/reinvent/inception.smi,10000,cuda,untested,READY_RUNNABLE,near-series optimization around the real active parents (inception-guided),valid
scaffold_hopping,Reinvent,reinvent,fe8cd1678452ad292a8f93e97cb19a85959b729e17113e157180d5e69ae89ef3,True,True,staged_learning,/cluster/home/nbhatt04/Low-data-alpah9alpah10-r01-ligand-based/project/reinvent/configs/scaffold_hopping_staged_learning.toml,7ec046dc144d499f9a14f57b8b852e3eb36703aa7c8ed6aca94a8683c7f95ad2,predicted_activity:1+training_similarity:0.8+taf_consistency:0.8+scaffold_novelty:1+novelty:0.6+stereo_validity:0.3,IdenticalTopologicalScaffold,,10000,cuda,untested,READY_RUNNABLE,preserve TAFs while deliberately changing the scaffold,valid
taf_disrupting,Reinvent,reinvent,fe8cd1678452ad292a8f93e97cb19a85959b729e17113e157180d5e69ae89ef3,True,True,staged_learning,/cluster/home/nbhatt04/Low-data-alpah9alpah10-r01-ligand-based/project/reinvent/configs/taf_disrupting_staged_learning.toml,9dea684766b8333b26ae78514f6bc5902cbc7bae1cda437424dff3d9e0575784,predicted_activity:0.8+training_similarity:0.5+taf_disrupted:1+novelty:0.3+stereo_validity:0.4,IdenticalMurckoScaffold,,10000,cuda,untested,READY_RUNNABLE,"intentionally violate the TAF constellation (falsification control, portfolio group F)",valid
information_gain,Reinvent,reinvent,fe8cd1678452ad292a8f93e97cb19a85959b729e17113e157180d5e69ae89ef3,True,True,staged_learning,/cluster/home/nbhatt04/Low-data-alpah9alpah10-r01-ligand-based/project/reinvent/configs/information_gain_staged_learning.toml,9343e780d38f750a27de464996f2a3ccef7e438ea73f81c46def4d1578d16609,predicted_activity:0.5+training_similarity:0.6+uncertainty:1+novelty:0.8+stereo_validity:0.3,PenalizeSameSmiles,,10000,cuda,untested,READY_RUNNABLE,explore uncertain/borderline zones to discriminate competing hypotheses,valid
local_analog_libinvent,LibInvent,libinvent,03e6cbe8a53e59a4ac3aa6728d041f1957bdd07b5eefdf2cfc5c8591036075af,True,False,staged_learning,/cluster/home/nbhatt04/Low-data-alpah9alpah10-r01-ligand-based/project/reinvent/configs/local_analog_libinvent_staged_learning.toml,c7d0684a5f9c49da7052b384b978129b28e2094728479963eb18db61cb66a3b1,predicted_activity:1+training_similarity:1+taf_consistency:0.8+novelty:0.2,IdenticalMurckoScaffold,,10000,cuda,untested,READY_RUNNABLE,,valid
